LATIN CAPITAL LETTER U WITH DOT BELOW,U+01EE4,U+0F82E,\[FormalCapitalU]
GREEK CAPITAL LETTER UPSILON + COMBINING DOT BELOW,U+003A5 U+00323,U+0F848,\[FormalCapitalUpsilon]
LATIN CAPITAL LETTER V WITH DOT BELOW,U+01E7E,U+0F82F,\[FormalCapitalV]
LATIN CAPITAL LETTER W WITH DOT BELOW,U+01E88,U+0F830,\[FormalCapitalW]
LATIN CAPITAL LETTER X + COMBINING DOT BELOW,U+00058 U+00323,U+0F831,\[FormalCapitalX]
GREEK CAPITAL LETTER XI + COMBINING DOT BELOW,U+0039E U+00323,U+0F841,\[FormalCapitalXi]
LATIN CAPITAL LETTER Y WITH DOT BELOW,U+01EF4,U+0F832,\[FormalCapitalY]
LATIN CAPITAL LETTER Z WITH DOT BELOW,U+01E92,U+0F833,\[FormalCapitalZ]
GREEK CAPITAL LETTER ZETA + COMBINING DOT BELOW,U+00396 U+00323,U+0F839,\[FormalCapitalZeta]
GREEK SMALL LETTER CHI + COMBINING DOT BELOW,U+003C7 U+00323,U+0F86A,\[FormalChi]
GREEK UPSILON WITH HOOK SYMBOL + COMBINING DOT BELOW,U+003D2 U+00323,U+0F875,\[FormalCurlyCapitalUpsilon]
GREEK SMALL LETTER EPSILON + COMBINING DOT BELOW,U+003B5 U+00323,U+0F858,\[FormalCurlyEpsilon]
GREEK KAPPA SYMBOL + COMBINING DOT BELOW,U+003F0 U+00323,U+0F885,\[FormalCurlyKappa]
GREEK SMALL LETTER PHI + COMBINING DOT BELOW,U+003C6 U+00323,U+0F869,\[FormalCurlyPhi]
GREEK PI SYMBOL + COMBINING DOT BELOW,U+003D6 U+00323,U+0F879,\[FormalCurlyPi]
GREEK RHO SYMBOL + COMBINING DOT BELOW,U+003F1 U+00323,U+0F886,\[FormalCurlyRho]
GREEK THETA SYMBOL + COMBINING DOT BELOW,U+003D1 U+00323,U+0F874,\[FormalCurlyTheta]
LATIN SMALL LETTER D WITH DOT BELOW,U+01E0D,U+0F803,\[FormalD]
GREEK SMALL LETTER DELTA + COMBINING DOT BELOW,U+003B4 U+00323,U+0F857,\[FormalDelta]
GREEK SMALL LETTER DIGAMMA,U+003DD,U+0F880,\[FormalDigamma]
LATIN SMALL LETTER E WITH DOT BELOW,U+01EB9,U+0F804,\[FormalE]
GREEK LUNATE EPSILON SYMBOL + COMBINING DOT BELOW,U+003F5 U+00323,U+0F88A,\[FormalEpsilon]
GREEK SMALL LETTER ETA + COMBINING DOT BELOW,U+003B7 U+00323,U+0F85A,\[FormalEta]
LATIN SMALL LETTER F + COMBINING DOT BELOW,U+00066 U+00323,U+0F805,\[FormalF]
GREEK SMALL LETTER FINAL SIGMA + COMBINING DOT BELOW,U+003C2 U+00323,U+0F865,\[FormalFinalSigma]
LATIN SMALL LETTER G + COMBINING DOT BELOW,U+00067 U+00323,U+0F806,\[FormalG]
GREEK SMALL LETTER GAMMA + COMBINING DOT BELOW,U+003B3 U+00323,U+0F856,\[FormalGamma]
LATIN SMALL LETTER H WITH DOT BELOW,U+01E25,U+0F807,\[FormalH]
LATIN SMALL LETTER I WITH DOT BELOW,U+01ECB,U+0F808,\[FormalI]
LATIN SMALL LETTER J + COMBINING DOT BELOW,U+0006A U+00323,U+0F809,\[FormalJ]
LATIN SMALL LETTER K WITH DOT BELOW,U+01E33,U+0F80A,\[FormalK]
GREEK SMALL LETTER KAPPA + COMBINING DOT BELOW,U+003BA U+00323,U+0F85D,\[FormalKappa]
GREEK SMALL LETTER KOPPA + COMBINING DOT BELOW,U+003DF U+00323,U+0F882,\[FormalKoppa]
LATIN SMALL LETTER L WITH DOT BELOW,U+01E37,U+0F80B,\[FormalL]
GREEK SMALL LETTER LAMDA + COMBINING DOT BELOW,U+003BB U+00323,U+0F85E,\[FormalLambda]
LATIN SMALL LETTER M + COMBINING DOT BELOW,U+0006D U+00323,U+0F80C,\[FormalM]
GREEK SMALL LETTER MU + COMBINING DOT BELOW,U+003BC U+00323,U+0F85F,\[FormalMu]
LATIN SMALL LETTER N + COMBINING DOT BELOW,U+0006E U+00323,U+0F80D,\[FormalN]
GREEK SMALL LETTER NU + COMBINING DOT BELOW,U+003BD U+00323,U+0F860,\[FormalNu]
LATIN SMALL LETTER O + COMBINING DOT BELOW,U+0006F U+00323,U+0F80E,\[FormalO]
GREEK SMALL LETTER OMEGA + COMBINING DOT BELOW,U+003C9 U+00323,U+0F86C,\[FormalOmega]
GREEK SMALL LETTER OMICRON + COMBINING DOT BELOW,U+003BF U+00323,U+0F862,\[FormalOmicron]
LATIN SMALL LETTER P + COMBINING DOT BELOW,U+00070 U+00323,U+0F80F,\[FormalP]
GREEK PHI SYMBOL + COMBINING DOT BELOW,U+003D5 U+00323,U+0F878,\[FormalPhi]
GREEK SMALL LETTER PI + COMBINING DOT BELOW,U+003C0 U+00323,U+0F863,\[FormalPi]
GREEK SMALL LETTER PSI + COMBINING DOT BELOW,U+003C8 U+00323,U+0F86B,\[FormalPsi]
LATIN SMALL LETTER Q + COMBINING DOT BELOW,U+00071 U+00323,U+0F810,\[FormalQ]
LATIN SMALL LETTER R WITH DOT BELOW,U+01E5B,U+0F811,\[FormalR]
GREEK SMALL LETTER RHO + COMBINING DOT BELOW,U+003C1 U+00323,U+0F864,\[FormalRho]
LATIN SMALL LETTER S WITH DOT BELOW,U+01E63,U+0F812,\[FormalS]
GREEK SMALL LETTER SAMPI + COMBINING DOT BELOW,U+003E1 U+00323,U+0F884,\[FormalSampi]
GREEK SMALL LETTER SIGMA + COMBINING DOT BELOW,U+003C3 U+00323,U+0F866,\[FormalSigma]
GREEK SMALL LETTER STIGMA,U+003DB,U+0F87E,\[FormalStigma]
LATIN SMALL LETTER T WITH DOT BELOW,U+01E6D,U+0F813,\[FormalT]
GREEK SMALL LETTER TAU + COMBINING DOT BELOW,U+003C4 U+00323,U+0F867,\[FormalTau]
GREEK SMALL LETTER THETA + COMBINING DOT BELOW,U+003B8 U+00323,U+0F85B,\[FormalTheta]
LATIN SMALL LETTER U WITH DOT BELOW,U+01EE5,U+0F814,\[FormalU]
GREEK SMALL LETTER UPSILON + COMBINING DOT BELOW,U+003C5 U+00323,U+0F868,\[FormalUpsilon]
LATIN SMALL LETTER V WITH DOT BELOW,U+01E7F,U+0F815,\[FormalV]
LATIN SMALL LETTER W WITH DOT BELOW,U+01E89,U+0F816,\[FormalW]
LATIN SMALL LETTER X + COMBINING DOT BELOW,U+00078 U+00323,U+0F817,\[FormalX]
GREEK SMALL LETTER XI + COMBINING DOT BELOW,U+003BE U+00323,U+0F861,\[FormalXi]
LATIN SMALL LETTER Y WITH DOT BELOW,U+01EF5,U+0F818,\[FormalY]
LATIN SMALL LETTER Z WITH DOT BELOW,U+01E93,U+0F819,\[FormalZ]
GREEK SMALL LETTER ZETA + COMBINING DOT BELOW,U+003B6 U+00323,U+0F859,\[FormalZeta]
RIGHTWARDS ARROW FROM BAR,U+021A6,U+0F4A1,\[Function]
MATHEMATICAL FRAKTUR SMALL A,U+1D51E,U+0F6CC,\[GothicA]
MATHEMATICAL FRAKTUR SMALL B,U+1D51F,U+0F6CD,\[GothicB]
MATHEMATICAL FRAKTUR SMALL C,U+1D520,U+0F6CE,\[GothicC]
MATHEMATICAL FRAKTUR CAPITAL A,U+1D504,U+0F78A,\[GothicCapitalA]
